-100.0 0.0
-95.0 0.0
-90.0 -2.5
-85.0 -7.5
-80.0 -15.0
-75.0 -24.5
-70.0 -35.5
-65.0 -47.5
-60.0 -60.0
-55.0 -72.5
-50.0 -84.5
-45.0 -95.5
-40.0 -105.5
-35.0 -114.0
-30.0 -121.0
-25.0 -126.5
-20.0 -131.0
-15.0 -134.5
-10.0 -137.5
-5.0 -139.5
0.0 -140.5
5.0 -140.5
10.0 -140.0
15.0 -138.5
20.0 -136.5
25.0 -134.0
30.0 -131.0
35.0 -127.5
40.0 -123.5
45.0 -119.0
50.0 -114.0
55.0 -108.5
60.0 -102.5
65.0 -96.0
70.0 -89.0
75.0 -81.5
80.0 -73.5
85.0 -65.0
90.0 -56.0
95.0 -46.5
100.0 -36.5
105.0 -26.0
110.0 -15.0
115.0 -5.0
120.0 0.0
125.0 0.0
