0  74
24.4121212121  74
47.5393939394  74
64.2424242424  72.724137931
89.9393939394  71.4482758621
122.060606061  68.8965517241
142.618181818  65.0689655172
156.751515152  59.9655172414
164.460606061  53.5862068966
168.315151515  39.5517241379
169.6  26.7931034483
169.6  20.4137931034
169.6  11.4827586207
169.6  -1.27586206897
173.454545455  -31.8965517241
178.593939394  -81.6551724138
181.163636364  -119.931034483
185.018181818  -178.620689655
187.587878788  -209.24137931
188.872727273  -237.310344828
191.442424242  -275.586206897
192.727272727  -298.551724138
195.296969697  -333
199.151515152  -349.586206897
201.721212121  -366.172413793
205.575757576  -380.206896552
206.860606061  -386.586206897
209.43030303  -394.24137931
217.139393939  -398.068965517
224.848484848  -395.517241379
229.987878788  -377.655172414
233.842424242  -357.24137931
238.981818182  -308.75862069
240.266666667  -275.586206897
238.981818182  -244.965517241
240.266666667  -216.896551724
242.836363636  -170.965517241
245.406060606  -130.137931034
247.975757576  -100.793103448
250.545454545  -56.1379310345
250.545454545  -20.4137931034
253.115151515  -5.10344827586
254.4  16.5862068966
254.4  35.724137931
256.96969697  48.4827586207
256.96969697  56.1379310345
265.963636364  62.5172413793
280.096969697  67.6206896552
295.515151515  70.1724137931
313.503030303  71.4482758621
335.345454545  72.724137931
361.042424242  74
390.593939394  74
418.860606061  74
